filename,tsne_dim1,tsne_dim2
DB0-m2_o1_fel_repeat,25.752087,-51.106953
DB0-m2_o1_o1_f0_nbo.sym.10_repeat,20.340546,-69.0905
DB0-m2_o1_o1_f0_nbo.sym.11_repeat,19.215508,-61.800915
DB0-m2_o1_o1_f0_nbo.sym.14_repeat,-18.4398,-64.97149
DB0-m2_o1_o1_f0_nbo.sym.19_repeat,-2.370487,11.017242
DB0-m2_o1_o1_f0_nbo.sym.2_repeat,16.651367,-61.438683
DB0-m2_o1_o1_f0_nbo.sym.22_repeat,25.058,-70.828354
DB0-m2_o1_o1_f0_nbo.sym.23_repeat,44.077183,-56.40493
DB0-m2_o1_o1_f0_nbo.sym.24_repeat,9.235896,-56.29231
DB0-m2_o1_o1_f0_nbo.sym.29_repeat,20.29179,-69.04478
DB0-m2_o1_o1_f0_nbo.sym.4_repeat,22.431005,-22.251081
DB0-m2_o1_o1_f0_nbo.sym.5_repeat,15.729465,-33.96515
DB0-m2_o1_o1_f0_nbo.sym.6_repeat,-4.352199,10.000024
DB0-m2_o1_o1_f0_nbo.sym.7_repeat,19.261127,-61.687866
DB0-m2_o1_o1_f0_nbo.sym.8_repeat,15.761033,-34.435253
DB0-m2_o1_o11_f0_nbo.sym.1_repeat,69.41053,-10.812601
DB0-m2_o1_o11_f0_nbo.sym.10_repeat,56.160492,-9.215266
DB0-m2_o1_o11_f0_nbo.sym.100_repeat,69.667496,-10.489047
DB0-m2_o1_o11_f0_nbo.sym.101_repeat,66.21113,11.362662
DB0-m2_o1_o11_f0_nbo.sym.102_repeat,58.327522,10.025174
DB0-m2_o1_o11_f0_nbo.sym.103_repeat,70.12602,-9.452067
DB0-m2_o1_o11_f0_nbo.sym.104_repeat,55.62938,19.347322
DB0-m2_o1_o11_f0_nbo.sym.105_repeat,49.44366,1.7189122
DB0-m2_o1_o11_f0_nbo.sym.106_repeat,71.20464,-8.364089
DB0-m2_o1_o11_f0_nbo.sym.107_repeat,35.654964,16.07965
DB0-m2_o1_o11_f0_nbo.sym.108_repeat,50.918285,-6.6365967
DB0-m2_o1_o11_f0_nbo.sym.109_repeat,50.438194,-6.7394686
DB0-m2_o1_o11_f0_nbo.sym.11_repeat,69.51525,-11.058807
DB0-m2_o1_o11_f0_nbo.sym.111_repeat,55.853786,-8.928813
